Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 18 15:13:29 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/unicast/unicast_40.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                           Instance                                          |                Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| board_top                                                                                   |                                (top) |      21543 |       9379 |   12164 |    0 | 5387 |      3 |      2 |         16 |
|   (board_top)                                                                               |                                (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   DIVIDER                                                                                   |                        clock_divider |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     inst                                                                                    |  clock_divider_clock_divider_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   FOX_TOP                                                                                   |                                  top |      21543 |       9379 |   12164 |    0 | 5387 |      3 |      2 |         16 |
|     (FOX_TOP)                                                                               |                                  top |       1952 |          0 |    1952 |    0 |    0 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE |                          result_node |       7324 |       2876 |    4448 |    0 | 1500 |      0 |      1 |          4 |
|       ENABLE_UART_GEN.BUFFERED_UART                                                         |                     UART_tx_buffered |         85 |         85 |       0 |    0 |   72 |      0 |      1 |          0 |
|         UART_BUFFER                                                                         |            fifo_sync__parameterized3 |         68 |         68 |       0 |    0 |   52 |      0 |      1 |          0 |
|         UART_INITIALISE                                                                     |                                 UART |         48 |         48 |       0 |    0 |   20 |      0 |      0 |          0 |
|           os_clk_divider_i                                                                  |                         UART_CLK_DIV |          4 |          4 |       0 |    0 |    6 |      0 |      0 |          0 |
|           uart_tx_i                                                                         |                              UART_TX |         44 |         44 |       0 |    0 |   14 |      0 |      0 |          0 |
|             (uart_tx_i)                                                                     |                              UART_TX |         36 |         36 |       0 |    0 |    9 |      0 |      0 |          0 |
|             tx_clk_divider_i                                                                |         UART_CLK_DIV__parameterized3 |          8 |          8 |       0 |    0 |    5 |      0 |      0 |          0 |
|       FOX_NODE_INITIALISE                                                                   |                             fox_node |       7239 |       2791 |    4448 |    0 | 1428 |      0 |      0 |          4 |
|         ENCODER                                                                             |                   message_encoder_18 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|         NIC                                                                                 |                             nic_dual |       2468 |        628 |    1840 |    0 |  294 |      0 |      0 |          0 |
|           (NIC)                                                                             |                             nic_dual |          0 |          0 |       0 |    0 |  112 |      0 |      0 |          0 |
|           NETWORK_TO_PE_FIFO                                                                |    fifo_sync_wrapper__parameterized1 |       2369 |        569 |    1800 |    0 |  144 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                       |            fifo_sync__parameterized1 |       2369 |        569 |    1800 |    0 |  144 |      0 |      0 |          0 |
|           PE_TO_NETWORK_FIFO                                                                |                 fifo_sync_wrapper_20 |         99 |         59 |      40 |    0 |   38 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                       |                         fifo_sync_21 |         99 |         59 |      40 |    0 |   38 |      0 |      0 |          0 |
